plotName,treatmentName,x,y
1105S,NAM-32,0.590663333,0.902561406
1212N,NAM-32,1.346001361,1.183379185
1113N,NAM-32,1.664438746,1.649200053
1212N,NAM-32,1.346001361,1.183379185
1212S,NAM-32,1.851798531,1.502512647
1113N,NAM-32,1.664438746,1.649200053
1105S,NAM-32,0.590663333,0.902561406
1113N,NAM-32,1.664438746,1.649200053
1310S,NAM-32,2.894542674,1.78082272
1310N,NAM-32,2.127933126,1.724917836
1310S,NAM-32,2.894542674,1.78082272
1105S,NAM-32,0.590663333,0.902561406
1310S,NAM-32,2.894542674,1.78082272
1212N,NAM-32,1.346001361,1.183379185
1212S,NAM-32,1.851798531,1.502512647
1212N,NAM-32,1.346001361,1.183379185
1212N,NAM-32,1.346001361,1.183379185
1310N,NAM-32,2.127933126,1.724917836
1113N,NAM-32,1.664438746,1.649200053
1105S,NAM-32,0.590663333,0.902561406
1310N,NAM-32,2.127933126,1.724917836
1113N,NAM-32,1.664438746,1.649200053
1212S,NAM-32,1.851798531,1.502512647
1310S,NAM-32,2.894542674,1.78082272
1310N,NAM-32,2.127933126,1.724917836
1105S,NAM-32,0.590663333,0.902561406
1113N,NAM-32,1.664438746,1.649200053
1212S,NAM-32,1.851798531,1.502512647
1310N,NAM-32,2.127933126,1.724917836
1310S,NAM-32,2.894542674,1.78082272
1212S,NAM-32,1.851798531,1.502512647
1105S,NAM-32,0.590663333,0.902561406
1107N,NAM-76,1.777335553,0.991758089
1215S,NAM-76,1.415750004,1.097360448
1215S,NAM-76,1.415750004,1.097360448
1313S,NAM-76,1.597179311,1.444566287
1215S,NAM-76,1.415750004,1.097360448
1306N,NAM-76,1.140214136,0.542272252
1215N,NAM-76,1.157682955,0.366057119
1306N,NAM-76,1.140214136,0.542272252
1215N,NAM-76,1.157682955,0.366057119
1313S,NAM-76,1.597179311,1.444566287
1107S,NAM-76,1.741443588,1.381686361
1306N,NAM-76,1.140214136,0.542272252
1215N,NAM-76,1.157682955,0.366057119
1107N,NAM-76,1.777335553,0.991758089
1107S,NAM-76,1.741443588,1.381686361
1107N,NAM-76,1.777335553,0.991758089
1313S,NAM-76,1.597179311,1.444566287
1107S,NAM-76,1.741443588,1.381686361
1107N,NAM-76,1.777335553,0.991758089
1313S,NAM-76,1.597179311,1.444566287
1107S,NAM-76,1.741443588,1.381686361
1107S,NAM-76,1.741443588,1.381686361
1215S,NAM-76,1.415750004,1.097360448
1107N,NAM-76,1.777335553,0.991758089
1313S,NAM-76,1.597179311,1.444566287
1215S,NAM-76,1.415750004,1.097360448
1306N,NAM-76,1.140214136,0.542272252
1306N,NAM-76,1.140214136,0.542272252
1107N,NAM-76,1.777335553,0.991758089
1107S,NAM-76,1.741443588,1.381686361
1215N,NAM-76,1.157682955,0.366057119
1215N,NAM-76,1.157682955,0.366057119
1114S,NAM-72,2.015812563,1.28983991
1213S,NAM-72,2.577965069,1.144007172
1114N,NAM-72,1.840469913,1.351997925
1114S,NAM-72,2.015812563,1.28983991
1206N,NAM-72,1.752870485,0.85970488
1309N,NAM-72,1.929786333,1.576317637
1206N,NAM-72,1.752870485,0.85970488
1309S,NAM-72,1.547807429,1.095215734
1206N,NAM-72,1.752870485,0.85970488
1114S,NAM-72,2.015812563,1.28983991
1114N,NAM-72,1.840469913,1.351997925
1213S,NAM-72,2.577965069,1.144007172
1114S,NAM-72,2.015812563,1.28983991
1309S,NAM-72,1.547807429,1.095215734
1309N,NAM-72,1.929786333,1.576317637
1309S,NAM-72,1.547807429,1.095215734
1114S,NAM-72,2.015812563,1.28983991
1206N,NAM-72,1.752870485,0.85970488
1309S,NAM-72,1.547807429,1.095215734
1114N,NAM-72,1.840469913,1.351997925
1114N,NAM-72,1.840469913,1.351997925
1213S,NAM-72,2.577965069,1.144007172
1114S,NAM-72,2.015812563,1.28983991
1114N,NAM-72,1.840469913,1.351997925
1213S,NAM-72,2.577965069,1.144007172
1309N,NAM-72,1.929786333,1.576317637
1309N,NAM-72,1.929786333,1.576317637
1206N,NAM-72,1.752870485,0.85970488
1213S,NAM-72,2.577965069,1.144007172
1309N,NAM-72,1.929786333,1.576317637
